Advisor_Id,Investment_Id,Transaction_Type
995151,104157,
1003188,104157,
1004436,104157,
1012756,104157,
1013018,104157,
1014198,104157,
1021152,104157,
1029905,104157,
1069646,104157,
1072950,104157,
1077801,104157,
1079814,104157,
1087627,104157,
1089066,104157,
1114748,104157,
183954,104157,
391278,104157,
391295,104157,
473708,104157,
566367,104157,
570017,104157,
606825,104157,
612606,104157,
623101,104157,
624356,104157,
630792,104157,
630910,104157,
722462,104157,
744085,104157,
768024,104157,
776408,104157,
817901,104157,
843459,104157,
847493,104157,
921567,104157,
933299,104157,
944714,104157,
945041,104157,
967843,104157,
969511,104157,
970298,104157,
983718,104157,
985406,104157,
989316,104157,
990175,105561,US Fund Europe Stock
990182,105561,US Fund Europe Stock
990185,105561,US Fund Europe Stock
990305,105561,US Fund Europe Stock
990421,105561,US Fund Europe Stock
990430,105561,US Fund Europe Stock
990469,105561,US Fund Europe Stock
990604,105561,US Fund Europe Stock
990846,105561,US Fund Europe Stock
991024,105561,US Fund Europe Stock
991042,105561,US Fund Europe Stock
991388,105561,US Fund Europe Stock
991692,105561,US Fund Europe Stock
991864,105561,US Fund Europe Stock
991971,105561,US Fund Europe Stock
992088,105561,US Fund Europe Stock
992095,105561,US Fund Europe Stock
992136,105561,US Fund Europe Stock
992140,105561,US Fund Europe Stock
992241,105561,US Fund Europe Stock
992254,105561,US Fund Europe Stock
992314,105561,US Fund Europe Stock
992472,105561,US Fund Europe Stock
992633,105561,US Fund Europe Stock
992665,105561,US Fund Europe Stock
992671,105561,US Fund Europe Stock
992833,105561,US Fund Europe Stock
992869,105561,US Fund Europe Stock
992999,105561,US Fund Europe Stock
993028,105561,US Fund Europe Stock
993172,105561,US Fund Europe Stock
993584,105561,US Fund Europe Stock
993624,105561,US Fund Europe Stock
993738,105561,US Fund Europe Stock
993773,105561,US Fund Europe Stock
993808,105561,US Fund Europe Stock
993824,105561,US Fund Europe Stock
993834,105561,US Fund Europe Stock
993897,105561,US Fund Europe Stock
994104,105561,US Fund Europe Stock
994396,105561,US Fund Europe Stock
994397,105561,US Fund Europe Stock
994404,105561,US Fund Europe Stock
994487,105561,US Fund Europe Stock
994590,105561,US Fund Europe Stock
994642,105561,US Fund Europe Stock
994655,105561,US Fund Europe Stock
994771,105561,US Fund Europe Stock
994893,105561,US Fund Europe Stock
995160,105561,US Fund Europe Stock
995416,105561,US Fund Europe Stock
995460,105561,US Fund Europe Stock
995537,105561,US Fund Europe Stock
995582,105561,US Fund Europe Stock
995912,105561,US Fund Europe Stock
995966,105561,US Fund Europe Stock
996065,105561,US Fund Europe Stock
996101,105561,US Fund Europe Stock
996361,105561,US Fund Europe Stock
996482,105561,US Fund Europe Stock
996535,105561,US Fund Europe Stock
996602,105561,US Fund Europe Stock
996605,105561,US Fund Europe Stock
996645,105561,US Fund Europe Stock
996685,105561,US Fund Europe Stock
996743,105561,US Fund Europe Stock
996776,105561,US Fund Europe Stock
996791,105561,US Fund Europe Stock
997172,105561,US Fund Europe Stock
997340,105561,US Fund Europe Stock
997465,105561,US Fund Europe Stock
997724,105561,US Fund Europe Stock
997860,105561,US Fund Europe Stock
997932,105561,US Fund Europe Stock
998552,105561,US Fund Europe Stock
998692,105561,US Fund Europe Stock
998784,105561,US Fund Europe Stock
998909,105561,US Fund Europe Stock
998978,105561,US Fund Europe Stock
999084,105561,US Fund Europe Stock
999402,105561,US Fund Europe Stock
999414,105561,US Fund Europe Stock
1000004,105561,US Fund Europe Stock
1000768,105561,US Fund Europe Stock
1001109,105561,US Fund Europe Stock
1001538,105561,US Fund Europe Stock
1001858,105561,US Fund Europe Stock
1001863,105561,US Fund Europe Stock
1002186,105561,US Fund Europe Stock
1002411,105561,US Fund Europe Stock
1002744,105561,US Fund Europe Stock
1003089,105561,US Fund Europe Stock
1003091,105561,US Fund Europe Stock
1003184,105561,US Fund Europe Stock
1003188,105561,US Fund Europe Stock
1003231,105561,US Fund Europe Stock
1003622,105561,US Fund Europe Stock
1003705,105561,US Fund Europe Stock
1003771,105561,US Fund Europe Stock
1003897,105561,US Fund Europe Stock
1004025,105561,US Fund Europe Stock
1004155,105561,US Fund Europe Stock
1004231,105561,US Fund Europe Stock
1004327,105561,US Fund Europe Stock
1004370,105561,US Fund Europe Stock
1004405,105561,US Fund Europe Stock
1004408,105561,US Fund Europe Stock
1004473,105561,US Fund Europe Stock
1004577,105561,US Fund Europe Stock
1004636,105561,US Fund Europe Stock
1004729,105561,US Fund Europe Stock
1004776,105561,US Fund Europe Stock
1004804,105561,US Fund Europe Stock
1004883,105561,US Fund Europe Stock
1005010,105561,US Fund Europe Stock
1005101,105561,US Fund Europe Stock
1005627,105561,US Fund Europe Stock
1005674,105561,US Fund Europe Stock
1005698,105561,US Fund Europe Stock
1005761,105561,US Fund Europe Stock
1005786,105561,US Fund Europe Stock
1005817,105561,US Fund Europe Stock
1005985,105561,US Fund Europe Stock
1006027,105561,US Fund Europe Stock
1006029,105561,US Fund Europe Stock
1006090,105561,US Fund Europe Stock
1006225,105561,US Fund Europe Stock
1006435,105561,US Fund Europe Stock
1006438,105561,US Fund Europe Stock
1006494,105561,US Fund Europe Stock
1006686,105561,US Fund Europe Stock
1006715,105561,US Fund Europe Stock
1006775,105561,US Fund Europe Stock
1006830,105561,US Fund Europe Stock
1006940,105561,US Fund Europe Stock
1006954,105561,US Fund Europe Stock
1007072,105561,US Fund Europe Stock
1007150,105561,US Fund Europe Stock
1007418,105561,US Fund Europe Stock
1007709,105561,US Fund Europe Stock
